Filename;TheBestSolutionWeight;AverageSolutionWeight;Iterations;IslandSize;PopulationSize;EpochSize;IterationsInEpoch;CrossProbability;MutationProbability;CrossType
xqg237;1202;1232.38;100;8;32;5;100;0.8;0.05;1
pbn423;1588;1628.8;100;8;32;5;100;0.8;0.05;1
pbk411;1554;1597.76;100;8;32;5;100;0.8;0.05;1
pka379;1644;1713.11;100;8;32;5;100;0.8;0.05;1
bcl380;1815;1880.88;100;8;32;5;100;0.8;0.05;1
xqf131;662;685.56;100;8;32;5;100;0.8;0.05;1
xql662;2948;3049.41;100;8;32;5;100;0.8;0.05;1
pbl395;1469;1530.17;100;8;32;5;100;0.8;0.05;1
pbm436;1674;1725.18;100;8;32;5;100;0.8;0.05;1
pma343;1707;1750.35;100;8;32;5;100;0.8;0.05;1
icw1483;5367;5531.95;100;8;32;5;100;0.8;0.05;1
xit1083;4329;4436.53;100;8;32;5;100;0.8;0.05;1
dcb2086;8677;8858.83;100;8;32;5;100;0.8;0.05;1
djc1785;7780;7933.48;100;8;32;5;100;0.8;0.05;1
pds2566;10454;10741;100;8;32;5;100;0.8;0.05;1

xqg237;1197;1228.57;100;8;32;5;100;0.8;0.05;2
pbn423;1578;1629.17;100;8;32;5;100;0.8;0.05;2
pbk411;1556;1597.46;100;8;32;5;100;0.8;0.05;2
pka379;1655;1710.26;100;8;32;5;100;0.8;0.05;2
bcl380;1822;1881.08;100;8;32;5;100;0.8;0.05;2
xqf131;648;681.45;100;8;32;5;100;0.8;0.05;2
xql662;2949;3047.36;100;8;32;5;100;0.8;0.05;2
pbl395;1489;1532.02;100;8;32;5;100;0.8;0.05;2
pbm436;1653;1722.25;100;8;32;5;100;0.8;0.05;2
pma343;1697;1746.31;100;8;32;5;100;0.8;0.05;2
icw1483;5468;5580.57;100;8;32;5;100;0.8;0.05;2
xit1083;4352;4444.33;100;8;32;5;100;0.8;0.05;2
dcb2086;8744;8936.75;100;8;32;5;100;0.8;0.05;2
djc1785;7795;7969.56;100;8;32;5;100;0.8;0.05;2
pds2566;10645;10855.9;100;8;32;5;100;0.8;0.05;2